area,coverage,variable,value
46554,Male,        High school graduate (includes equivalency),662
46554,Female,        High school graduate (includes equivalency),566
46556,Total,        High school graduate (includes equivalency),121
46556,Male,        High school graduate (includes equivalency),96
46556,Female,        High school graduate (includes equivalency),25
46561,Total,        High school graduate (includes equivalency),"3,731"
46561,Male,        High school graduate (includes equivalency),"1,836"
46561,Female,        High school graduate (includes equivalency),"1,895"
46563,Total,        High school graduate (includes equivalency),"6,241"
46563,Male,        High school graduate (includes equivalency),"3,258"
46563,Female,        High school graduate (includes equivalency),"2,983"
46573,Total,        High school graduate (includes equivalency),"1,015"
46573,Male,        High school graduate (includes equivalency),471
46573,Female,        High school graduate (includes equivalency),544
46574,Total,        High school graduate (includes equivalency),"2,169"
46574,Male,        High school graduate (includes equivalency),"1,249"
46574,Female,        High school graduate (includes equivalency),920
46595,Total,        High school graduate (includes equivalency),24
46595,Male,        High school graduate (includes equivalency),12
46595,Female,        High school graduate (includes equivalency),12
46601,Total,        High school graduate (includes equivalency),"1,082"
46601,Male,        High school graduate (includes equivalency),720
46601,Female,        High school graduate (includes equivalency),362
46613,Total,        High school graduate (includes equivalency),"2,551"
46613,Male,        High school graduate (includes equivalency),"1,313"
46613,Female,        High school graduate (includes equivalency),"1,238"
46614,Total,        High school graduate (includes equivalency),"5,940"
46614,Male,        High school graduate (includes equivalency),"2,786"
46614,Female,        High school graduate (includes equivalency),"3,154"
46615,Total,        High school graduate (includes equivalency),"2,453"
46615,Male,        High school graduate (includes equivalency),"1,114"
46615,Female,        High school graduate (includes equivalency),"1,339"
46616,Total,        High school graduate (includes equivalency),908
46616,Male,        High school graduate (includes equivalency),474
46616,Female,        High school graduate (includes equivalency),434
46617,Total,        High school graduate (includes equivalency),"1,042"
46617,Male,        High school graduate (includes equivalency),556
46617,Female,        High school graduate (includes equivalency),486
46619,Total,        High school graduate (includes equivalency),"5,792"
46619,Male,        High school graduate (includes equivalency),"3,048"
46619,Female,        High school graduate (includes equivalency),"2,744"
46624,Total,        High school graduate (includes equivalency),0
46624,Male,        High school graduate (includes equivalency),0
46624,Female,        High school graduate (includes equivalency),0
46628,Total,        High school graduate (includes equivalency),"6,201"
46628,Male,        High school graduate (includes equivalency),"3,086"
46628,Female,        High school graduate (includes equivalency),"3,115"
46635,Total,        High school graduate (includes equivalency),"1,242"
46635,Male,        High school graduate (includes equivalency),632
46635,Female,        High school graduate (includes equivalency),610
46637,Total,        High school graduate (includes equivalency),"2,551"
46637,Male,        High school graduate (includes equivalency),"1,350"
46637,Female,        High school graduate (includes equivalency),"1,201"
"St. Joseph County, Indiana",Total,"        Some college, no degree","35,682"
"St. Joseph County, Indiana",Male,"        Some college, no degree","16,761"
